"","Aardappelengat A5","Aardappelengat A6","Aardappelengat A4","Amer A3","Amer A5","BeerKanaal B1","Beneden Merwede BE 1A","Beneden Merwede BE 2","Beningen BN 6","Beningen BN 5","CalandKanaal CA4","Dordtsche Kil D 1","Dordtsche Kil D 2A","Haringvliet HV 25","Haringvliet HV 26","Haringvliet HV3","Haringvliet HV5","Haringvliet HV7","Haringvliet HV2A","Haringvliet HD-G","Haringvliet HD-H","Haringvliet HD-I","Haringvliet HD-B","Haringvliet HD-C","Haringvliet HD-D","Haringvliet HD-E","Haringvliet HD-F","Hartelkanaal SB-B","Hartelkanaal SB-E","Hitsertse of Vuile Gat VG 5","Hitsertse of Vuile Gat VG 8","Hollands Diep HD 33","Hollands Diep HD 30","Maasmond Maas 5","Maasmond CA2-NW1","Maasmond Maas 4","Maasvlakte-Maasgeul Maas1","Maasvlakte-Maasgeul MV N","Maasvlakte-Maasgeul MV A","Maasvlakte-Maasgeul MVB","Maasvlakte-Maasgeul MVC","Nieuwe Maas NM 23","Nieuwe Maas NM 21","Nieuwe Merwede NM 8","Nieuwe Merwede NM 6","NieuweWaterweg NW3","NieuweWaterweg NW2","NieuweWaterweg NW25","NieuweWaterweg NW8","Noord N4","Noord N2","NoordPampus P8","NoordPampus P7","NoordPampus P6","NoordPampus P1","NoordPampus P4","NoordPampus P9","NoordPampus P10","Noordzee HP-WNB 15A","Oude Maas O 57","Oude Maas O 59","Oude Maas BB A","Oude Maas BB-C","Oude Maas BB-E","Slijkgat HS8","Slijkgat HS6","Slijkgat HS4","Slijkgat HS2","Slijkgat SG7","Slijkgat SG12","Slijkgat SG6","Slijkgat SG2","Spui SP 4","Spui SP 6","Zuid Hollandsch Diep 5","Zuid Hollandsch Diep 3","Goereesesluis ZOUT","Goereesesluis ZOET","Bunker","AMER - ZUIDERGAT","AMER - NOORDERGAT"
"Hitsertse of Vuile Gat VG 8",11599.6978633799,11581.3450501429,12241.1464624057,32117.8522739313,33046.7012167619,27649.6101097388,35540.8574464256,35211.1541945471,3393.6761324615,3482.66946323759,28002.8425339122,24240.1342950673,24492.0616343589,2525.18879236932,1941.64116682501,12394.4287206965,11859.0979184433,11266.3155538705,11638.1485176474,17026.6677262209,17004.5727630055,17110.2760945398,17249.9333630265,17193.7620672814,17143.9276618837,17099.726575,17054.0915746825,23103.5184101464,22819.7392116564,507.762773120678,0,20093.7133150139,19884.3601678009,28378.9809644751,28539.6409626233,29018.4353699564,30773.5798014204,32046.6397232318,28281.1811880773,30699.343975184,32948.7232354992,25955.3512755054,25613.6559581693,30220.0754846205,29625.3254042725,28132.7178684219,28414.4996319119,23731.6381815238,23969.0269940473,28265.1925221294,28060.8653435205,18581.6034445545,18735.0489033059,19317.6779706626,21607.653450392,20590.940195354,18369.0647651102,18226.8098833255,25972.0844303808,27646.8626823169,27829.2674205478,13122.2463747659,13189.688175295,13244.7890668909,17913.8439935839,17834.8052105554,17755.3763172511,17682.5073617435,25583.7135312807,22921.1434662925,26380.6452969556,28319.3987565945,13557.1999488562,13323.278952416,20122.3381842941,20234.3356144841,18022.7075784607,17433.0145133071,22415.312720939,29439.8188065683,29918.6369443221
"Hollands Diep HD 33",31689.4391835025,31663.8924197584,32304.8973803521,13395.8002931046,14311.5304255958,44792.9155746648,20763.0365700691,20616.730580556,22971.8010216258,23051.7832000339,45004.9852661187,9311.29702456849,9958.64265982744,21702.7669323874,21252.4506493086,32388.512940047,31791.94229773,31133.7554680049,31468.4532787106,37007.0043326481,36967.1882493314,37056.3731680694,37298.8709620677,37231.3086666772,37169.4155308975,37111.7404326151,37050.8013635496,40639.0010383039,40269.4174962336,20039.9958142324,20093.7133150139,0,371.457886611322,45592.3847540383,45618.5775979189,46012.9830833451,48389.9306185239,49898.0535742651,47587.8860508746,49769.9348195474,51345.6948159437,22950.603464977,22995.9784396934,12225.3630319023,11456.0119134299,45093.2576878899,45275.0088718201,39845.2366197867,39940.1530750007,19838.3510289716,20125.0559365147,38555.7293730422,38719.7573398684,39214.0136866402,41531.7484041135,40443.4384485844,38393.8085450406,38249.2434569409,45239.0337396859,15648.2670609209,15830.8706696678,24565.7873567062,24537.3572016065,24507.5161878779,37944.6081697628,37842.4405246767,37737.2137267472,37634.9563429308,45669.7809798213,42953.3208037986,46454.8219776403,48402.4046703417,17262.6362113153,17195.9940827271,680.917712476603,818.42513311883,38088.4266406578,37502.9558499111,41840.9735731892,10761.3635991875,11192.4073313352
"Hollands Diep HD 30",31475.5422651829,31447.5268362503,32084.451315644,13408.3026808689,14329.0121036431,44476.1037541041,20612.5203455897,20459.471193719,22737.1261321853,22816.6071604909,44685.9880340838,9075.90947920191,9717.78620090967,21522.8382089854,21066.7872567808,32159.7832848133,31558.6968732539,30896.8390662755,31229.2052212185,36775.0505777634,36733.6695873889,36821.4440189309,37074.7242259371,37005.5627969145,36942.1530343355,36882.9411978443,36820.4123688734,40331.3874488774,39960.7418847978,19838.4757257764,19884.3601678009,371.457886611322,0,45276.0984373527,45300.2883196152,45693.2347549141,48078.4241113572,49589.8887549157,47316.7049601376,49490.1048732603,51047.7915396411,22598.809846466,22641.6607244974,12178.3629859807,11415.6773021601,44773.613666577,44953.8554044745,39518.7910368356,39611.985072808,19534.7009897274,19815.3860489957,38322.6591193116,38487.6325192032,38974.4497907777,41293.4369245949,40200.4079342325,38166.1122543927,38021.3063787769,44967.5389355185,15389.4744289756,15573.352662863,24224.3399211971,24195.2981176139,24164.9350209448,37717.7849445287,37612.9355972064,37505.1410283241,37400.3197123783,45452.8239943845,42725.5412653985,46234.0637008158,48184.0870654057,16901.7482794229,16836.3062107494,1012.13463822151,1163.743175475,37866.9605978919,37282.4496222656,41576.8805873561,10755.6587650945,11193.5452802375
"Maasmond Maas 5",20596.6365762883,20387.2669038928,19690.5054623833,54008.6558617773,54799.6073466702,808.94866732474,52390.9870715821,51960.4071872188,25005.3335153236,24917.5600130835,866.284975806791,45131.2646562691,44992.1078691307,28642.4753248802,28642.7983496488,18881.028993701,18814.6009116882,18904.480832915,18495.5204354988,16425.5465678758,16254.6236974464,16054.181427441,17260.093491491,17089.5121861837,16928.1376851474,16764.0333470294,16595.7891346897,5281.94000141082,5559.95208979818,28753.098264664,28378.9809644751,45592.3847540383,45276.0984373527,0,471.948194042894,923.715109091333,3018.15215863693,4717.89026930841,9505.96430812768,8908.22964314315,7161.04652495461,35531.7184997003,35033.6327832683,51675.3765524288,51386.3692717012,935.425574769174,1198.690999471,6201.76122003645,6285.63417301855,41796.8015907343,41236.6341479107,15794.9805499003,15871.5847457134,14769.6490139822,14487.4460406798,13995.5992514468,16519.2575163924,16526.982452816,9006.83046081346,44709.9903711255,44807.8213058736,21602.0250999288,21661.3452334549,21718.061343752,16748.4921133899,16447.3821328688,16164.103416468,15883.4329862403,17857.6574518271,15951.5843361993,17463.526347891,18400.5933391946,29651.2885432231,29605.1948824324,45886.3450482487,46037.2675352162,17372.2391286989,17639.068484595,10577.8627948109,51765.8225921936,52205.7288007662
"Maasmond CA2-NW1",20902.8083803015,20690.8173611329,20000.0652851257,53935.4539948076,54722.0726072456,894.287957172218,52229.3493189556,51798.1241344276,25172.5535664652,25085.0684442055,636.36874000361,45060.8081947772,44914.8737362944,28841.4144091037,28832.8961094776,19183.2019572907,19101.7484410217,19176.268246938,18769.3348438397,16800.3138655052,16627.4951958744,16427.3537086841,17644.6730763224,17472.1123662218,17308.8228817864,17142.7844868078,16972.4414328489,5476.3586572662,5728.2317157119,28919.0199666877,28539.6409626233,45618.5775979189,45300.2883196152,471.948194042894,0,526.817652434298,3209.31400230481,4917.34119481447,9972.10663207684,9334.66902671996,7449.88861641981,35321.3606832499,34823.9064554134,51598.3007481491,51316.0126274318,616.537473133179,767.841927023273,6075.13359132045,6130.2076324183,41615.5120638784,41052.2062569876,16193.3941377909,16272.9958016139,15174.384589647,14924.9532880235,14417.1368950162,16918.1410395673,16923.6192661797,9477.0458319782,44573.9616413891,44670.0500522363,21551.4331972735,21608.82142946,21663.9247622399,17141.2097692742,16837.0117533157,16550.4504079089,16266.3211622672,18324.9556718504,16404.1347604626,17933.5403079525,18872.5333227559,29593.7855620935,29551.3590821712,45918.8454589038,46070.497053801,17769.6736642825,18028.6076819342,11009.8810302768,51706.136320507,52144.3115361602
"Maasmond Maas 4",21428.1919507486,21215.9146254639,20525.801075647,54247.5411911306,55030.1570959034,1402.21646095117,52454.1002985219,52022.2165052497,25654.83976735,25567.5007920516,1023.49711206008,45376.0645246449,45223.9897755759,29337.4293968511,29325.2028283377,19708.1708216801,19624.5429018747,19696.0791272717,19289.6020784133,17322.3579419542,17149.9773608515,16949.7617643345,18164.0253450309,17992.0675041542,17829.3316742836,17663.8236582272,17494.0247059732,5977.95647902777,6219.46805307361,29400.3315557758,29018.4353699564,46012.9830833451,45693.2347549141,923.715109091333,526.817652434298,0,3096.82145527091,4787.53922676901,10293.7561157016,9531.7905617457,7417.10308655626,35493.3436818588,34996.7258424371,51907.0152828619,51630.854017701,920.015822318627,813.250421375513,6365.1200531962,6391.5081387375,41819.8451800126,41253.1059742529,16707.5013887573,16785.7329533005,15685.4504337465,15410.9329565313,14917.7261457252,17432.0607115618,17438.5176769686,9886.46819588731,44826.2497770716,44920.5441419888,21888.5374108241,21944.2448482628,21997.9372618466,17657.7014997099,17354.6435003109,17069.2020168605,16786.1550814579,18749.2773125821,16868.8593829111,18342.2054106476,19247.942591324,29922.6715604134,29883.4492361464,46317.8510245576,46470.0224202107,18284.2534081021,18546.3045006261,11501.5369829531,52030.4866590983,52467.098494992
"Maasvlakte-Maasgeul Maas1",22267.8465283998,22077.7737194669,21346.1594545839,56977.200338448,57772.8957159161,3807.99141287662,55409.0649894282,54978.4513502768,27382.9285099977,27294.2679622038,3825.01270767834,48097.6388595358,47966.038186372,30872.4800776339,30912.7414966622,20593.5533543353,20623.8252676616,20805.2113209307,20387.8373830169,17597.2412243197,17446.6536925163,17246.4477655985,18324.0342566023,18175.6843062728,18035.5362889895,17892.6631527139,17747.0706957126,7794.17957804005,8141.92125455302,31125.6054205648,30773.5798014204,48389.9306185239,48078.4241113572,3018.15215863693,3209.31400230481,3096.82145527091,0,1708.14557792856,8461.02489723222,7061.90219796372,4349.95472213705,38529.4089026672,38031.815976732,54648.4379342938,54351.8890904791,3825.85102141565,3883.6053647009,9218.43997344557,9303.16521354527,44811.016534645,44249.6976727282,16734.9687117923,16776.5734489979,15656.3957760906,14927.5290274057,14687.2780422284,17442.2306362588,17474.7344865245,8736.48383390801,47724.7274965791,47823.0708397741,24551.3584182401,24613.0892678322,24671.7820993984,17735.314028039,17471.3546461296,17226.3011686396,16984.8712770137,17496.8680854529,16071.6035219618,16956.2222476521,17588.0062682587,32605.4058700326,32554.6371173017,48668.7990564506,48817.8940560539,18298.6732414021,18646.8424923806,11219.9709566759,54718.1180127602,55160.2072607288
"Maasvlakte-Maasgeul MV N",23164.3630795139,22985.9325412811,22239.7984517416,58610.7882332021,59410.639987387,5497.94292246629,57105.8103943113,56675.4701632251,28652.9876500658,28564.0208286425,5532.57817510142,49730.1868688049,49605.2041674865,32050.0214172847,32113.2143393462,21522.906304833,21605.2791401456,21835.0844436047,21415.6474347087,18261.335808483,18123.3505068509,17925.5323293524,18922.0865687714,18787.3522964857,18660.1849839267,18530.3206469569,18398.5284335318,9259.56690111122,9629.54809658478,32385.1503718088,32046.6397232318,49898.0535742651,49589.8887549157,4717.89026930841,4917.34119481447,4787.53922676901,1708.14557792856,0,8097.10684139159,6222.52970022329,2815.59901777859,40237.4303876565,39739.8073263765,56286.2181398363,55983.0622929989,5533.86749234394,5583.40234647964,10910.4321428888,11002.9757900537,46514.5550171357,45954.0287059249,17284.4722087526,17306.6006475669,16192.1345066856,15231.8729668573,15133.30729101,17973.7110048403,18019.2751588522,8830.69787917549,49409.0306748392,49508.3660791946,26175.935124091,26239.4452936651,26299.6040157897,18298.0090474181,18057.2154446213,17835.6840087811,17618.2663585922,17309.2722638731,16178.64200248,16691.0019574555,17135.9493311633,34230.628565789,34176.2009387448,50166.6527922711,50314.4695854054,18822.243224433,19211.0160873091,11718.3068249518,56338.0698395069,56781.9279361127
"Maasvlakte-Maasgeul MV A",17733.3720152308,17618.2645080055,16847.4146116095,57716.3557918288,58575.5553023905,9747.1432386983,57666.8730919943,57251.9577232985,24993.380871663,24906.143765649,10213.1250422661,48925.8418967441,48909.8357748976,27697.9536399945,27893.7464214396,16343.6631282393,16677.0222414695,17140.2965211938,16739.5783527048,12155.8100171592,12079.7926149416,11908.242070613,12514.5339659915,12439.5772008008,12370.4476751544,12300.0411890442,12232.1142463593,9798.77659427124,10197.0680319968,28521.516320076,28281.1811880773,47587.8860508746,47316.7049601376,9505.96430812768,9972.10663207684,10293.7561157016,8461.02489723222,8097.10684139159,0,2753.4156936297,6677.03078429861,41835.2276607865,41336.5679201974,55484.3378070537,55078.3497762264,10352.0899338673,10689.2687197231,13496.4620120894,13802.3002351302,47535.9013140959,47035.1469664578,10816.1286064134,10765.3576862229,9768.41050740321,8100.8785516931,8484.75928687853,11388.8238181014,11477.8240126749,2349.71453772013,49652.8504154104,49778.6883876201,25887.5103794828,25974.1412236229,26053.1699917999,11802.7573214137,11664.4461519053,11549.078242173,11443.1738928562,9232.29886873191,8491.02425988365,8594.28786540293,9126.98279724547,33634.0246471079,33526.8740296272,47754.1880748476,47887.8851166566,12155.4080652043,12662.714925308,5872.4326991823,55258.8926029719,55724.024647693
"Maasvlakte-Maasgeul MVB",20376.1453335184,20251.4946132776,19479.7206132481,59587.7557662125,60433.6378391442,9360.10972323124,59150.694298537,58730.5725172996,27374.5495062792,27286.4626138354,9726.93279533292,50755.8502400574,50712.0386573981,30218.7002399012,30392.5997209828,18940.2050339424,19234.7638001093,19661.0412959125,19253.3857478139,14852.2632245031,14768.2069073334,14592.0586406989,15243.5014769781,15163.0128189935,15088.0748133969,15011.2754794038,14936.0463608689,10668.3119582597,11090.04014819,30959.0732274343,30699.343975184,49769.9348195474,49490.1048732603,8908.22964314315,9334.66902671996,9531.7905617457,7061.90219796372,6222.52970022329,2753.4156936297,0,4208.05274252111,42967.9691202984,42467.6092606206,57328.3386772102,56947.3544536551,9831.74161574188,10098.941677266,13933.2998800351,14182.5542668813,48861.8716878877,48341.958574797,13542.6353773989,13497.8902279635,12483.9667489168,10854.2633630687,11213.649894073,14127.1776056009,14213.3607039369,4795.93112153853,51206.7941358429,51325.6271488092,27466.7228164382,27547.8265682726,27622.4155059354,14536.0122465645,14388.3605870766,14261.9089370414,14142.9200796494,11619.0264234549,11183.0267300234,10880.75546111,11066.0551013426,35353.1009743823,35259.2409528126,49958.6797214657,50095.6827780389,14900.9332936281,15402.6320844266,8411.9429351114,57171.4622487331,57632.2511676521
"Maasvlakte-Maasgeul MVC",23363.1194422412,23208.6534085935,22443.8765143953,60472.2284164044,61288.721067001,7869.16613631875,59307.9100385274,58880.1540627883,29566.7088178531,29477.595447757,8020.24566629208,51595.5530863693,51497.9496444211,32742.1105289369,32854.3577834812,21803.3084863892,21984.3238325791,22305.6009001692,21887.2154815737,18109.1217031044,17995.9154070946,17806.1015228854,18642.648264935,18533.9186728598,18431.6151454652,18326.8051324582,18221.5839678209,10906.9460562668,11313.3429801437,33255.1523319293,32948.7232354992,51345.6948159437,51047.7915396411,7161.04652495461,7449.88861641981,7417.10308655626,4349.95472213705,2815.59901777859,6677.03078429861,4208.05274252111,0,42611.8669585953,42112.5935108402,58166.9131135967,57836.8141861354,8055.3777866789,8174.27451504265,13188.4088514991,13332.3608483903,48791.9068554431,48242.196262761,16952.862027111,16941.2106708546,15861.5897734202,14538.6746905985,14678.108142011,17597.2933541228,17664.3065502673,8095.8849402486,51526.0044597464,51631.5471365251,28058.0691497467,28127.9655301115,28193.3978151913,17968.8707097317,17772.5789936173,17596.0987570644,17424.8041156944,15801.9683163643,15144.0869422071,15081.2053739407,15255.7707012947,36091.5194750292,36023.3527074583,51584.107148371,51728.0221634586,18416.5500606102,18868.0998247403,11473.8507633946,58147.1417900006,58597.4650501182
"Nieuwe Maas NM 23",33304.1887943323,33114.9219879031,33314.5177641052,22844.4612449643,23315.8917974462,34777.6772545143,17562.960565744,17126.1052049556,26022.7084448681,26035.7236904221,34705.1649283016,15744.4717769592,15190.8905942538,28471.805272912,27895.1595216663,32784.8317935776,32007.4242846037,31250.263996427,31322.0094077152,36155.4658349638,36004.610914868,35968.7472880326,36974.8959730369,36801.8259541887,36638.9643135345,36477.5163007087,36308.9215401695,32299.9758065971,31877.9921883024,26353.7484369213,25955.3512755054,22950.603464977,22598.809846466,35531.7184997003,35321.3606832499,35493.3436818588,38529.4089026672,40237.4303876565,41835.2276607865,42967.9691202984,42611.8669585953,0,500.546144702402,20590.2155475629,20727.7858584793,34705.11811676,34682.7777722882,29425.1039169207,29281.7125816439,6797.57657781275,6166.77028038478,37329.3561639771,37536.2122630334,37366.7577999156,39396.2777740482,38110.4112861358,37603.9107268602,37467.3876264977,39762.2418930061,11415.3730205756,11408.9793368689,16938.9432828968,16834.2617161958,16741.798053261,37301.7580718614,37017.274355562,36737.3593559993,36458.6584138204,44579.523542299,41418.6643208927,44981.7439033082,46881.0420068335,12398.3928852022,12632.6228976837,23609.7868952403,23762.4096039531,37816.031453201,37407.9223069723,37523.4072201139,21679.0991621774,21948.9238047962
"Nieuwe Maas NM 21",32867.2355763692,32676.6742937475,32870.9126177448,23160.0145207887,23644.7253336936,34279.1937038724,18016.0232877881,17578.9058521403,25635.9737125881,25647.9054443956,34207.462626618,15942.1308764956,15399.8769101811,28127.0506523142,27552.1313273272,32336.1585261677,31558.9366157964,30802.8600427659,30871.6542587403,35688.0792418512,35536.5477219596,35499.7103507813,36510.6417844933,36336.9489852388,36173.4922042973,36011.4281757333,35842.2021270695,31799.58740108,31377.6194018222,26016.4694680586,25613.6559581693,22995.9784396934,22641.6607244974,35033.6327832683,34823.9064554134,34996.7258424371,38031.815976732,39739.8073263765,41336.5679201974,42467.6092606206,42112.5935108402,500.546144702402,0,20892.5918923607,21014.907286378,34207.6952254867,34186.0434847299,28925.6338113283,28782.7057469892,7233.26968739062,6605.90631805621,36857.1347926511,37064.0297270816,36889.8438997399,38915.038847956,37629.2697687205,37134.7555441272,36998.5023372231,39264.9544580442,11760.6298176037,11760.3728462266,16470.2847162159,16365.4078648414,16272.829790831,36834.2704304447,36548.7233266166,36267.8172627151,35988.1253246253,44100.2265757984,40939.3294970954,44499.6606710186,46397.2733729477,12061.2840308239,12296.2260847446,23651.3585964403,23805.3843168588,37350.8589378536,36944.9439495631,37031.7033073223,21950.6239009825,22227.9424443934
"Nieuwe Merwede NM 8",41413.8111396068,41336.1460269388,41875.0471474685,2376.13086139487,3124.47097273269,50868.2737174834,9651.34868744074,9666.15570758098,32486.4060193259,32552.2796561133,50962.6214768956,6576.67313442575,6683.44595087699,32268.5744447312,31740.8285192352,41768.3976630716,41078.3686484392,40347.129924173,40616.1054195341,46217.815189923,46140.040771634,46192.3682097755,46692.0307938562,46587.9535770054,46491.0652871912,46397.5127107867,46299.1244612549,47261.5668895307,46853.7211174318,30305.267593069,30220.0754846205,12225.3630319023,12178.3629859807,51675.3765524288,51598.3007481491,51907.0152828619,54648.4379342938,56286.2181398363,55484.3378070537,57328.3386772102,58166.9131135967,20590.2155475629,20892.5918923607,0,795.290147281956,51014.8439630637,51111.9668348815,45542.450119269,45536.0366962775,14568.9409768816,15142.5790109746,47711.5631861674,47896.3654981374,48192.3859525992,50504.3515433836,49308.4792565745,47684.3044468196,47536.3297911011,53164.2083040513,9318.66051417276,9374.85919897702,30120.2316903512,30053.799324893,29991.5922745185,47263.5498124463,47098.4161946667,46932.0507846597,46767.7246618779,55114.7116717909,52172.8962655212,55800.9472781885,57785.3191513484,22075.6017551318,22144.3825357957,12686.2685594671,12702.6468867058,47531.0844105562,46977.1354562017,50068.4005218006,1927.29042587685,1822.24777572542
"Nieuwe Merwede NM 6",40865.5784984581,40791.3906544295,41338.0310228539,2640.48787429733,3506.10728372929,50578.5598071898,10389.1031749464,10390.240460319,31936.1746987469,32003.1085111137,50680.8311842971,6255.23652665883,6436.92615307749,31649.0248937739,31125.5503807711,41244.2176135687,40559.4971956557,39832.0291867632,40105.8462902102,45711.0944786934,45635.8395704948,45690.766643571,46173.243169499,46071.5836279776,45977.0098246975,45885.8311023212,45789.9138005669,46929.9271775059,46523.9032249348,29701.7674601068,29625.3254042725,11456.0119134299,11415.6773021601,51386.3692717012,51316.0126274318,51630.854017701,54351.8890904791,55983.0622929989,55078.3497762264,56947.3544536551,57836.8141861354,20727.7858584793,21014.907286378,795.290147281956,0,50735.514938008,50838.3750310601,45268.3361561051,45268.5233590614,14851.0747922598,15410.3018202024,47210.4035990802,47393.9785966612,47704.0365492059,50018.9781338151,48829.2286593015,47173.7741240764,47025.8706446096,52753.7163010469,9573.00313046179,9644.04298400156,29808.3555315036,29743.9757440103,29683.4885135511,46750.5696956534,46589.6165509817,46427.2868236558,46267.0468981039,54600.289734534,51671.9301993484,55294.1446568952,57277.3936596968,21755.476842555,21816.7561207551,11909.1621058015,11923.322508888,47009.7772940094,46453.0202836686,49633.6693380262,1237.88022919868,1288.03998322613
"NieuweWaterweg NW3",20688.0909192976,20472.0436409499,19791.4113003332,53353.6270357377,54138.3450122385,726.371944327265,51619.0333375405,51187.6843512936,24773.5856964584,24686.4393800023,176.466468067769,44480.4568533562,44331.5413174936,28476.7305969949,28458.0399747063,18963.2790537477,18858.6350074695,18910.4340204159,18506.7326190263,16714.3728075742,16537.7444262991,16338.4346010118,17579.1789979814,17402.4001918569,17235.0736874392,17065.0048391828,16890.3292400563,5142.71706021986,5361.64357826174,28517.5540346758,28132.7178684219,45093.2576878899,44773.613666577,935.425574769174,616.537473133179,920.015822318627,3825.85102141565,5533.86749234394,10352.0899338673,9831.74161574188,8055.3777866789,34705.11811676,34207.6952254867,51014.8439630637,50735.514938008,0,404.361173212265,5480.27110948258,5525.63335892985,41001.9548100925,40438.228874999,16161.2270164167,16248.0283167516,15158.8453252513,15004.0818640324,14447.3434520526,16886.395528929,16886.4834100181,9735.43211441739,43969.8049928691,44065.4180187528,20982.5362979681,21038.9260529089,21093.2020552712,17094.6531597321,16783.6279722576,16489.9229150794,16198.4052230426,18544.2597959574,16539.5068188173,18180.9866717614,19171.7449950174,29020.3824950343,28979.76981328,45397.8992950714,45550.0553502983,17733.6840513803,17973.9495778428,11076.8669182935,51130.5514207521,51567.8960936596
"NieuweWaterweg NW2",21055.6369210542,20838.4322054054,20160.8282869818,53453.8351282603,54234.7998516494,1130.62719661677,51641.1160078965,51209.2048707114,25060.7928917386,24973.8671650166,580.58098839048,44583.9167840733,44429.2521137436,28782.8831455524,28758.6766511342,19329.5722085545,19217.7213784412,19261.7152667292,18859.2523794647,17109.7337432976,16932.5919799873,16733.4215260145,17977.0602587963,17799.7950712344,17631.9864892886,17461.4205960347,17286.1920562805,5478.07453828366,5680.89551597898,28802.6717703063,28414.4996319119,45275.0088718201,44953.8554044745,1198.690999471,767.841927023273,813.250421375513,3883.6053647009,5583.40234647964,10689.2687197231,10098.941677266,8174.27451504265,34682.7777722882,34186.0434847299,51111.9668348815,50838.3750310601,404.361173212265,0,5570.04711258325,5586.75919727047,41006.6981455235,40440.0702845861,16562.4876024887,16649.8349403091,15561.3481756844,15407.8078825244,14851.6097999845,17287.6463537523,17287.2854389695,10113.6131839208,44015.9645041044,44109.99362646,21109.0281988882,21163.7629275677,21216.6510404879,17494.5834020599,17182.9005563366,16888.4566114085,16596.1213573021,18932.4328355719,16939.593231521,18563.1790506695,19540.2642880647,29137.7631561685,29100.2433177175,45584.4762186254,45737.1731823505,18134.5346186904,18373.0040056097,11480.8457225157,51242.3702210599,51678.2200102164
"NieuweWaterweg NW25",18052.2837479965,17807.69375158,17242.1026528443,47883.8764919208,48665.4462441413,5412.63018416943,46196.4457900688,45766.3565084812,20471.0411078191,20387.7206676574,5439.0554851433,39013.9131354231,38859.5869383186,24404.5198277435,24304.9548918788,16346.1144819927,16037.7278140284,15883.9422567156,15525.2291854906,15418.5675663626,15218.5990997976,15039.3403771466,16416.478884666,16211.7979588968,16017.8236239919,15821.4857649077,15618.2758600402,3993.32445519745,3715.08440842319,24155.1832127981,23731.6381815238,39845.2366197867,39518.7910368356,6201.76122003645,6075.13359132045,6365.1200531962,9218.43997344557,10910.4321428888,13496.4620120894,13933.2998800351,13188.4088514991,29425.1039169207,28925.6338113283,45542.450119269,45268.3361561051,5480.27110948258,5570.04711258325,0,400.793649900362,35625.1559599582,35070.0681674804,15381.4901245986,15526.7162526289,14597.0135298414,15285.078241992,14343.8944888226,16064.896272546,16016.9369783153,12001.0420457368,38508.6691300923,38606.2473651157,15556.377722082,15608.9565065782,15660.146879784,16128.7171949154,15775.2603141349,15435.8441935055,15096.8676224575,19849.2284611255,17210.5269609194,19748.6806825245,21157.4251058484,23573.7146793274,23538.7142439054,40172.7794450443,40327.5058185305,16825.9837604049,16886.8171888162,11633.3472590738,45674.2060481853,46109.5072673644
"NieuweWaterweg NW8",18413.9984193751,18168.6110813398,17608.0551441424,47880.8494932813,48658.1025214167,5510.15794993055,46106.442733621,45675.6860678288,20722.2530978345,20639.4236196588,5496.950335814,39015.3468523933,38854.3176057951,24673.1014539652,24566.3920221942,16710.8042682857,16394.8397866144,16232.1470838584,15876.1549305353,15815.2115065518,15615.1055177803,15436.1880658237,16813.9738359699,16609.1165231018,16414.9703296405,16218.4636287142,16015.0621313662,4367.31497255705,4099.426623891,24396.276753391,23969.0269940473,39940.1530750007,39611.985072808,6285.63417301855,6130.2076324183,6391.5081387375,9303.16521354527,11002.9757900537,13802.3002351302,14182.5542668813,13332.3608483903,29281.7125816439,28782.7057469892,45536.0366962775,45268.5233590614,5525.63335892985,5586.75919727047,400.793649900362,0,35514.1114974334,34955.6672995781,15781.8902193633,15927.2659111424,14997.7997617663,15681.1893656262,14742.9005382588,16464.9786593471,16416.7987049374,12340.4205621227,38444.279183888,38540.0860699972,15596.0497653246,15646.2461176073,15695.4354200065,16527.9698883537,16174.3524710709,15834.7423138483,15495.5520141059,20232.460122087,17603.0474365556,20125.7669259946,21524.3860675357,23595.4709923085,23564.4342451458,40273.4727847894,40428.8020481472,17225.3837889899,17284.8110052746,12020.701515648,45684.6839040466,46118.2183039688
"Noord N4",37218.0811167208,37058.9562624068,37372.286133205,16670.9442295987,17026.7791690073,41024.1856381429,10807.6686087224,10370.1402553164,29101.050071802,29133.0327081479,40989.9600167416,11103.5269751785,10448.9464971698,30764.5355095114,30173.5912732111,36961.999404576,36190.2619499121,35418.9400876786,35555.8903675157,40748.8372312322,40617.0414320328,40607.1995747268,41480.2758730579,41324.6243411033,41178.4608014477,41034.3126080441,40883.5594977695,38237.8732832947,37814.1348823142,28579.1053514612,28265.1925221294,19838.3510289716,19534.7009897274,41796.8015907343,41615.5120638784,41819.8451800126,44811.016534645,46514.5550171357,47535.9013140959,48861.8716878877,48791.9068554431,6797.57657781275,7233.26968739062,14568.9409768816,14851.0747922598,41001.9548100925,41006.6981455235,35625.1559599582,35514.1114974334,0,636.269749393926,42042.5651117893,42246.7194420334,42212.8700411124,44359.6757400499,43079.1824166628,42231.7315972426,42089.1221484969,45374.9765679481,5284.9746140083,5207.19392984576,21880.5837775487,21783.5889090354,21696.6065158841,41887.9167324987,41633.8563320835,41382.6659486681,41132.9268335151,49452.2253164971,46310.2840368223,49940.8100962266,51887.0445505568,15392.8167307569,15592.8216644817,20519.0262530654,20647.3918719639,42337.7197993217,41877.1770467509,42870.6215102568,15938.2538228326,16127.771837161
